交易所名称,合约名称,合约代码,现价,涨停板,跌停板,保证金-买开,保证金-卖开,保证金-每手,手续费标准-开仓-万分之,手续费标准-开仓-元,手续费标准-平昨-万分之,手续费标准-平昨-元,手续费标准-平今-万分之,手续费标准-平今-元,每跳毛利,手续费,每跳净利,备注,手续费更新时间,价格更新时间
上海期货交易所,沪锌2609,zn2609,24060.0,26465.0,21650.0,12.0,12.0,14436.0,,3,,3,,0,25,3.0,22.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪锌2610,zn2610,24140.0,26550.0,21725.0,12.0,12.0,14484.0,,3,,3,,0,25,3.0,22.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪锌2611,zn2611,24200.0,26620.0,21780.0,12.0,12.0,14520.0,,3,,3,,0,25,3.0,22.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪锌2612,zn2612,24160.0,26575.0,21740.0,12.0,12.0,14496.0,,3,,3,,0,25,3.0,22.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪锌2701,zn2701,24200.0,26620.0,21780.0,12.0,12.0,14520.0,,3,,3,,0,25,3.0,22.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪锌2702,zn2702,24260.0,26685.0,21830.0,12.0,12.0,14556.0,,3,,3,,0,25,3.0,22.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,氧化铝2603,ao2603,2830.0,3113.0,2547.0,20.0,20.0,11320.0,0.0001,1/万分之 (5.7元),0.0001,1/万分之 (5.7元),0.0001,1/万分之 (5.7元),20,11.3,8.7,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,氧化铝2604,ao2604,2945.0,3239.0,2650.0,12.0,12.0,7068.0,0.0001,1/万分之 (5.9元),0.0001,1/万分之 (5.9元),0.0001,1/万分之 (5.9元),20,11.8,8.2,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,氧化铝2605,ao2605,2972.0,3269.0,2674.0,12.0,12.0,7132.8,0.0001,1/万分之 (5.9元),0.0001,1/万分之 (5.9元),0.0001,1/万分之 (5.9元),20,11.9,8.1,主力合约,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,氧化铝2606,ao2606,2969.0,3265.0,2672.0,12.0,12.0,7125.6,0.0001,1/万分之 (5.9元),0.0001,1/万分之 (5.9元),0.0001,1/万分之 (5.9元),20,11.9,8.1,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,氧化铝2607,ao2607,2978.0,3275.0,2680.0,12.0,12.0,7147.2,0.0001,1/万分之 (6元),0.0001,1/万分之 (6元),0.0001,1/万分之 (6元),20,11.9,8.1,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,氧化铝2608,ao2608,3006.0,3306.0,2705.0,12.0,12.0,7214.4,0.0001,1/万分之 (6元),0.0001,1/万分之 (6元),0.0001,1/万分之 (6元),20,12.0,8.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,氧化铝2609,ao2609,3029.0,3331.0,2726.0,12.0,12.0,7269.6,0.0001,1/万分之 (6.1元),0.0001,1/万分之 (6.1元),0.0001,1/万分之 (6.1元),20,12.1,7.9,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,氧化铝2610,ao2610,3053.0,3358.0,2747.0,12.0,12.0,7327.2,0.0001,1/万分之 (6.1元),0.0001,1/万分之 (6.1元),0.0001,1/万分之 (6.1元),20,12.2,7.8,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,氧化铝2611,ao2611,3042.0,3346.0,2737.0,12.0,12.0,7300.8,0.0001,1/万分之 (6.1元),0.0001,1/万分之 (6.1元),0.0001,1/万分之 (6.1元),20,12.2,7.8,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,氧化铝2612,ao2612,3039.0,3342.0,2735.0,12.0,12.0,7293.6,0.0001,1/万分之 (6.1元),0.0001,1/万分之 (6.1元),0.0001,1/万分之 (6.1元),20,12.2,7.8,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,氧化铝2701,ao2701,3061.0,3367.0,2754.0,12.0,12.0,7346.4,0.0001,1/万分之 (6.1元),0.0001,1/万分之 (6.1元),0.0001,1/万分之 (6.1元),20,12.2,7.8,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,氧化铝2702,ao2702,3084.0,3392.0,2775.0,12.0,12.0,7401.6,0.0001,1/万分之 (6.2元),0.0001,1/万分之 (6.2元),0.0001,1/万分之 (6.2元),20,12.3,7.7,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,线材2603,wr2603,3300.0,3564.0,3036.0,20.0,20.0,6600.0,4e-05,0.4/万分之 (1.3元),4e-05,0.4/万分之 (1.3元),0.0,0/万分之 (0元),10,1.3,8.7,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,线材2604,wr2604,3340.0,3607.0,3072.0,10.0,10.0,3340.0,4e-05,0.4/万分之 (1.3元),4e-05,0.4/万分之 (1.3元),0.0,0/万分之 (0元),10,1.3,8.7,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,线材2605,wr2605,3369.0,3638.0,3099.0,10.0,10.0,3369.0,4e-05,0.4/万分之 (1.3元),4e-05,0.4/万分之 (1.3元),0.0,0/万分之 (0元),10,1.3,8.7,主力合约,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,线材2606,wr2606,3390.0,3661.0,3118.0,10.0,10.0,3390.0,4e-05,0.4/万分之 (1.4元),4e-05,0.4/万分之 (1.4元),0.0,0/万分之 (0元),10,1.4,8.6,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,线材2607,wr2607,3359.0,3627.0,3090.0,10.0,10.0,3359.0,4e-05,0.4/万分之 (1.3元),4e-05,0.4/万分之 (1.3元),0.0,0/万分之 (0元),10,1.3,8.7,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
